,,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,
NORTE,ESTE,kg,ppb,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,%,ppm,ppm,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,
4627001,549050,2.78,19,1.6,3.71,4,<10,60,<0.5,2,0.09,<0.5,13,26,6040,10.2,10,<1,0.07,10,1.65,1700,2,0.08,8,220,11,0.03,<2,12,11,<20,0.01,<10,<10,155,<10,139,
4627049,549003,3.32,5,0.3,5.13,<2,<10,40,<0.5,2,0.02,<0.5,32,77,2180,11.35,10,<1,0.01,<10,3.42,3650,1,0.07,20,160,3,0.01,<2,28,5,<20,0.01,<10,<10,240,<10,280,
4627073,548963,2.76,17,0.6,1.39,10,10,2240,<0.5,4,0.61,<0.5,7,21,7480,6.62,10,<1,0.12,<10,0.33,1475,4,0.08,2,230,3,0.07,<2,8,67,<20,0.01,<10,<10,105,<10,44,
4627050,548964,3.2,8,0.8,1.74,4,<10,100,<0.5,<2,0.14,<0.5,2,60,1030,8.41,<10,<1,0.14,<10,0.4,148,<1,0.06,5,70,<2,0.07,<2,11,16,<20,<0.01,<10,<10,165,<10,48,
4627090,548870,3.42,70,4.8,0.23,47,<10,60,<0.5,20,2.41,0.8,4,6,4530,3.62,<10,<1,0.06,<10,1.16,286,1,0.05,2,360,16,0.04,<2,12,46,<20,<0.01,<10,<10,26,<10,58,
4626908,548813,3.24,43,3,0.45,611,<10,90,<0.5,6,0.02,<0.5,5,3,2210,4.79,<10,<1,0.15,<10,0.02,119,5,0.07,1,210,3,0.04,<2,3,9,<20,<0.01,<10,<10,22,<10,47,
4627065,549167,4.34,<5,<0.2,4.18,4,10,310,<0.5,2,1.62,3.3,41,32,336,7.17,10,<1,0.08,<10,3.63,5490,<1,0.1,16,270,34,0.08,<2,27,36,<20,0.01,<10,<10,270,<10,1300,
4626768,549097,3.76,27,0.3,2.57,11,<10,60,<0.5,<2,0.1,<0.5,18,5,81,7.43,10,<1,0.19,<10,2.15,1385,6,0.04,1,480,3,3.68,3,8,8,<20,<0.01,<10,<10,92,<10,114,
4626946,549168,3.32,<5,0.5,4.44,5,10,60,<0.5,2,0.87,<0.5,38,91,2290,8.83,10,<1,0.14,<10,4.11,4070,<1,0.05,25,200,4,1.9,2,23,12,<20,0.01,<10,<10,175,<10,276,
4627057,549233,05.08,<5,<0.2,4.23,5,10,70,<0.5,<2,1.67,0.5,34,37,145,5.78,10,<1,0.12,<10,3.2,2930,<1,0.52,15,260,12,0.96,4,25,39,<20,0.05,<10,<10,207,<10,495,
4626985,549224,4.64,<5,0.2,3.79,3,<10,40,<0.5,<2,0.06,<0.5,23,51,90,7.21,10,<1,0.14,<10,3.2,2270,<1,0.05,18,210,2,01.06,<2,14,3,<20,<0.01,<10,<10,188,<10,172,
4626851,548323,03.02,113,3.2,0.44,28,10,50,<0.5,2,1.66,2.5,16,2,755,4.16,<10,<1,0.25,<10,0.83,242,4,0.04,<1,60,5,04.08,<2,2,32,<20,<0.01,<10,<10,8,<10,65,
