,este,norte,Centroide
0,549050.0,4627001.0,0
1,549003.0,4627049.0,1
2,548963.0,4627073.0,2
3,548964.0,4627050.0,0
4,548870.0,4627090.0,2
5,548813.0,4626908.0,2
6,549167.0,4627065.0,1
7,549097.0,4626768.0,2
8,549168.0,4626946.0,1
9,549233.0,4627057.0,1
10,549224.0,4626985.0,0
11,548323.0,4626851.0,2
12,548319.0,4626774.0,2
13,548330.0,4626715.0,2
14,548462.0,4626895.0,0
15,548483.0,4626894.0,2
16,548555.0,4626873.0,0
17,548588.0,4626750.0,0
18,548568.0,4626787.0,0
19,549093.0,4627064.0,1
20,549205.0,4627061.0,2
21,549010.0,4626991.0,0
22,549114.0,4627003.0,0
23,549160.0,4627005.0,0
24,549188.0,4627016.0,0
25,549011.0,4626954.0,1
26,549051.0,4626957.0,1
27,549119.0,4626946.0,1
28,549201.0,4626950.0,2
29,549111.0,4626903.0,0
30,549154.0,4626906.0,0
31,549148.0,4626837.0,2
32,548508.0,4626892.0,0
33,548561.0,4626750.0,0
34,548866.0,4627100.0,2
35,549009.0,4627090.0,1
36,549020.0,4626843.0,2
37,549054.0,4626901.0,0
38,549004.0,4626896.0,1
39,548960.0,4626963.0,1
40,549047.0,4626803.0,2
41,549103.0,4626799.0,2
42,548649.0,4626695.0,1
43,548506.0,4626735.0,2
44,548504.0,4626709.0,2
45,548547.0,4626701.0,1
46,548363.0,4626861.0,2
47,548370.0,4626802.0,2
48,548353.0,4626699.0,2
49,548394.0,4626707.0,2
50,548451.0,4626713.0,0
51,548361.0,4626656.0,2
52,548403.0,4626649.0,2
53,548455.0,4626658.0,1
54,548504.0,4626656.0,1
55,548603.0,4626694.0,1
56,548562.0,4626641.0,0
57,548607.0,4626641.0,0
58,548668.0,4626658.0,1
59,548711.0,4626641.0,1
60,548752.0,4626659.0,1
61,548740.0,4626706.0,1
62,548252.0,4626715.0,2
63,548248.0,4626653.0,0
64,548314.0,4626754.0,2
65,548366.0,4626748.0,2
66,548393.0,4626753.0,0
67,548320.0,4626696.0,2
68,548900.0,4627073.0,1
69,548306.0,4626665.0,2
70,549008.0,4626755.0,2
71,549063.0,4626750.0,2
72,549094.0,4626751.0,2
73,549165.0,4626758.0,2
74,548957.0,4626765.0,1
75,548852.0,4626800.0,2
76,548842.0,4626761.0,1
77,548942.0,4626815.0,1
78,548969.0,4626837.0,1
79,548842.0,4626956.0,2
80,548891.0,4626966.0,0
81,549001.0,4626808.0,0
