,norte,este,Recvd Wt.,Au,Ag,Al,As,B,Ba,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sc,Sr,Ti,V,Zn
0,4627001.0,549050.0,2.78,19.0,1.6,3.71,4.0,10.0,60.0,2.0,0.09,0.5,13.0,26.0,6040.0,10.2,10.0,0.07,1.65,1700.0,2.0,0.08,8.0,220.0,11.0,0.03,12.0,11.0,0.01,155.0,139.0
1,4627049.0,549003.0,3.32,5.0,0.3,5.13,2.0,10.0,40.0,2.0,0.02,0.5,32.0,77.0,2180.0,11.35,10.0,0.01,3.42,3650.0,1.0,0.07,20.0,160.0,3.0,0.01,28.0,5.0,0.01,240.0,280.0
2,4627073.0,548963.0,2.76,17.0,0.6,1.39,10.0,10.0,2240.0,4.0,0.61,0.5,7.0,21.0,7480.0,6.62,10.0,0.12,0.33,1475.0,4.0,0.08,2.0,230.0,3.0,0.07,8.0,67.0,0.01,105.0,44.0
3,4627050.0,548964.0,3.2,8.0,0.8,1.74,4.0,10.0,100.0,2.0,0.14,0.5,2.0,60.0,1030.0,8.41,10.0,0.14,0.4,148.0,1.0,0.06,5.0,70.0,2.0,0.07,11.0,16.0,0.01,165.0,48.0
4,4627090.0,548870.0,3.42,70.0,4.8,0.23,47.0,10.0,60.0,20.0,2.41,0.8,4.0,6.0,4530.0,3.62,10.0,0.06,1.16,286.0,1.0,0.05,2.0,360.0,16.0,0.04,12.0,46.0,0.01,26.0,58.0
5,4626908.0,548813.0,3.24,43.0,3.0,0.45,611.0,10.0,90.0,6.0,0.02,0.5,5.0,3.0,2210.0,4.79,10.0,0.15,0.02,119.0,5.0,0.07,1.0,210.0,3.0,0.04,3.0,9.0,0.01,22.0,47.0
6,4627065.0,549167.0,4.34,5.0,0.2,4.18,4.0,10.0,310.0,2.0,1.62,3.3,41.0,32.0,336.0,7.17,10.0,0.08,3.63,5490.0,1.0,0.1,16.0,270.0,34.0,0.08,27.0,36.0,0.01,270.0,1300.0
7,4626768.0,549097.0,3.76,27.0,0.3,2.57,11.0,10.0,60.0,2.0,0.1,0.5,18.0,5.0,81.0,7.43,10.0,0.19,2.15,1385.0,6.0,0.04,1.0,480.0,3.0,3.68,8.0,8.0,0.01,92.0,114.0
8,4626946.0,549168.0,3.32,5.0,0.5,4.44,5.0,10.0,60.0,2.0,0.87,0.5,38.0,91.0,2290.0,8.83,10.0,0.14,4.11,4070.0,1.0,0.05,25.0,200.0,4.0,1.9,23.0,12.0,0.01,175.0,276.0
9,4627057.0,549233.0,5.08,5.0,0.2,4.23,5.0,10.0,70.0,2.0,1.67,0.5,34.0,37.0,145.0,5.78,10.0,0.12,3.2,2930.0,1.0,0.52,15.0,260.0,12.0,0.96,25.0,39.0,0.05,207.0,495.0
